timestamp,pos_x,pos_y,pos_z
0.250085,-4.887851,0.812149,4.144138
0.513794,-5.415030,0.806152,4.283045
0.763869,-5.611568,0.770244,4.342614
1.014126,-5.611640,0.736611,4.316830
1.264154,-5.614369,0.747951,4.324197
1.514943,-5.615421,0.751574,4.324567
1.763857,-5.623589,0.787647,4.332526
2.013767,-5.626661,0.794579,4.347365
