timestamp,hand,landmark_id,x,y,z,velocity_x,velocity_y,velocity_z
1761653361.6010783,Right,0,0.8053484559059143,0.6252554655075073,1.089017246158619e-06,0,0,0
1761653361.6010783,Right,1,0.7188666462898254,0.5871419906616211,-0.08782303333282471,0,0,0
1761653361.6010783,Right,2,0.6517841815948486,0.4862719178199768,-0.14454440772533417,0,0,0
1761653361.6010783,Right,3,0.6202671527862549,0.38481977581977844,-0.18726754188537598,0,0,0
1761653361.6010783,Right,4,0.5911880135536194,0.2794029116630554,-0.2312515527009964,0,0,0
1761653361.6010783,Right,5,0.7250954508781433,0.29184696078300476,-0.13703541457653046,0,0,0
1761653361.6010783,Right,6,0.7391617298126221,0.15473894774913788,-0.2070147544145584,0,0,0
1761653361.6010783,Right,7,0.7519213557243347,0.06764045357704163,-0.25744864344596863,0,0,0
1761653361.6010783,Right,8,0.7717214226722717,-0.010167896747589111,-0.29119381308555603,0,0,0
1761653361.6010783,Right,9,0.811261773109436,0.2902272939682007,-0.1316058188676834,0,0,0
1761653361.6010783,Right,10,0.8657559752464294,0.12134169042110443,-0.19009824097156525,0,0,0
1761653361.6010783,Right,11,0.9117501974105835,0.03383934497833252,-0.22694671154022217,0,0,0
1761653361.6010783,Right,12,0.9578956365585327,-0.03587409853935242,-0.2535182237625122,0,0,0
1761653361.6010783,Right,13,0.884254515171051,0.33001813292503357,-0.13271141052246094,0,0,0
1761653361.6010783,Right,14,0.9566974639892578,0.17942196130752563,-0.1910925805568695,0,0,0
1761653361.6010783,Right,15,1.009135127067566,0.10673487186431885,-0.2151528000831604,0,0,0
1761653361.6010783,Right,16,1.0544934272766113,0.04855017364025116,-0.23089267313480377,0,0,0
1761653361.6010783,Right,17,0.9458423852920532,0.3983868956565857,-0.13955891132354736,0,0,0
1761653361.6010783,Right,18,1.0124138593673706,0.2977898120880127,-0.18978439271450043,0,0,0
1761653361.6010783,Right,19,1.0502103567123413,0.25789687037467957,-0.20141881704330444,0,0,0
1761653361.6010783,Right,20,1.0786960124969482,0.22909057140350342,-0.2074226438999176,0,0,0
1761653361.6664102,Right,0,0.7730026841163635,0.663239598274231,4.7270521008613287e-07,-0.4950989336622607,0.5814022231791608,-9.433549270303014e-06
1761653361.6664102,Right,1,0.700434684753418,0.6246323585510254,-0.08286874741315842,-0.2821278948405602,0.5738444358482165,0.07583252895752896
